,date,comment,bookname,rate,bookID,like
0,1395/11/14,"اسم کتاب   No one writes to the Colonel
ترجمش میشه کسی به سرهنگ نامه نمینویسد، مترجمی که اسم کتابم اشتباه ترجمه میکنه دیگه چه توقعی از ترجمه ی متن کتاب باید داشته باشیم. اون هم آثار مارکز که همش جریان سیال ذهنه و ترجمش کار هرکسی نیست
😶😶",سرهنگ کسی ندارد برایش نامه بنویسد,0.0,3.0,2.0
1,1395/11/14,"طاقچه عزیز،نام کتاب""کسی به سرهنگ نامه نمینویسد"" است
بسیار متن اشتباهست،لطفا تصحیح کنید
",سرهنگ کسی ندارد برایش نامه بنویسد,5.0,3.0,2.0
2,1394/06/06,"بنظرم این اثر مارکز خیلی از صد سال تنهایی که بخاطرش نوبل ادبیات گرفت، زیباتر و روان تره.
این داستان یک شاهکاره بی تظیره.
سرگذشت سرهنگی که منتظر ترفیع و جایزه و فدردانیه. 
یه جورایی یاد دایی جان ناپلئون افتادم.",سرهنگ کسی ندارد برایش نامه بنویسد,5.0,3.0,0.0
3,1393/09/02,به نظر کتاب خوبی میومد اما من از ترجمش خوشم نیومد، لحنش طوری نبود که کتابو تا آخر بخونم,سرهنگ کسی ندارد برایش نامه بنویسد,2.0,3.0,0.0
4,1393/06/29,کتاب خوبی است,سرهنگ کسی ندارد برایش نامه بنویسد,3.0,3.0,0.0
5,1393/05/02,راستش خیلی خوشم نیومد ازش! ,سرهنگ کسی ندارد برایش نامه بنویسد,3.0,3.0,0.0
6,1393/04/11,کتابی شیوا و بینظیر یکی دیگر از شاهکار های اقای مارکز,سرهنگ کسی ندارد برایش نامه بنویسد,5.0,3.0,0.0
7,1398/09/30,"هر هشت تای این داستانها توی کتاب ""بهترین داستانهای کوتاه مارکز"" و یا ""پرنده مرده است و داستان های دیگر"" ترجمه آقای گلشیری هست. پیشنهاد میکنم ترجمه آقای گلشیری رو بخونید بهتره",هشت داستان کوتاه,3.0,5.0,1.0
8,1393/12/02,سلام چرا این نمونه نداره که بدونیم کدوم داستان کوتاه های مارکز؟ داستان های ماکز هزار بار هزار نفر ترجمه کردند لطفا توضیحات را بیشتر کنید ممنون,هشت داستان کوتاه,1.0,5.0,1.0
9,1393/05/20,دارم ب این جمع بندی میرسم ک مارکز هیچ جوره نویسنده مورد علاقه من نیست! ,هشت داستان کوتاه,2.0,5.0,1.0
10,1397/06/01,لطفا ویراست جدید کتاب را عرضه کنید,خاله تولا,1.0,36.0,4.0
11,1393/11/04," رمان خاله تولا یک داستان بلند فلسفی است که اندیشه و فلسفه بر تمام ارکان این داستان بلند سایه انداخته است. شخصیت‌‏ها در این رمان ، برای بیان اندیشه‌‏های اونمونو ساخته و پرداخته شده‌‏اند و در این گونه آثار ""اندیشه"" نقش محوری دارد؛ مکان و زمان نیز تحت شعاع این اندیشه قرار می‌‏گیرند.
""خاله تولا"" داستان دو خواهر است که عاشق یک مرد می شوند . این داستان از زمانی شروع می‌‏شود که یکی از خواهرها با ""رامیرو"" ازدواج می‌‏کند و مرگ‌‏های پیاپی در آن داستان اتفاق می‌‏افتد.",خاله تولا,0.0,36.0,0.0
12,1393/09/02,یکی بیاد بگه چه جور کتابیه میخوام بخرمش، عجبا فک کردم 100 تا نظر دادید,خاله تولا,1.0,36.0,0.0
13,1397/11/26,ترجمه اصلا روان نیست. خیلی جاها نیاز به ویراستاری داره. داستان هم جذابیت نداره و با اینکه بیشترش رو خواندم، باز نتونستم خودمو راضی کنم که تمومش کنم.,آشپزخانه,2.0,46.0,0.0
14,1397/04/11,عاااالی ، ترجمه هم عالی,آشپزخانه,5.0,46.0,2.0
15,1397/01/10,عالی,آشپزخانه,5.0,46.0,1.0
16,1396/02/26,نمونه ی کتاب رو خوندم.ی مقدار ترجمه مشکل داشت.ولی نمونه ی کتاب رو می تونم،عجیب و جالب و در عین حال تاسف بار توصیف کنم...,آشپزخانه,3.0,46.0,0.0
17,1395/09/28,ترجمه سرسری و وحشتناک.,آشپزخانه,1.0,46.0,0.0
18,1395/05/20,"محتوا و متن و ترجمه هر سه افتضاح!
 طرف تغییر جنسیت داده باشگاه هم جنس بازی داره معشوقه ی دخترای باشگاه شه، آخرم توسط یه مرد که جنسیت اصلیش و شناخته،در حین تلاش برای تجاوز کشته میشه، بعد تو وصیت نامه اش به پسرش میگه : بعضی تو این زندگی دست به کثافت کاری می زنند ولی من زندگی شادمانه رو انتخاب کردم!!!! مفهوم «شادمانه» تو ژاپن اینقد مهوّع شده؟!",آشپزخانه,1.0,46.0,1.0
19,1395/05/17,زن در ریگ روان هم بزار طاقچه,آشپزخانه,0.0,46.0,0.0
20,1394/02/27,کتاب خوبی بود ممنون طاقچه,آشپزخانه,5.0,46.0,1.0
21,1395/06/13,عالی بود. همه کارای این نویسنده عالی ست,دختری از گنگ,5.0,49.0,0.0
